	kommunenr	kommune	lat	lon	lat_lon
263	1438	Bremanger	61.76862	5.28907	61.76862,5.28907
264	1439	Vågsøy	61.93544	5.11402	61.93544,5.11402
265	1441	Selje	62.04263	5.34449	62.04263,5.34449
266	1443	Eid	61.90684	5.9932099999999995	61.90684,5.99321
267	1444	Hornindal	61.96925	6.52249	61.96925,6.52249
268	1445	Gloppen	61.777280000000005	6.21561	61.77728,6.21561
269	1449	Stryn	61.90406	6.724	61.90406,6.724
271	1502	Molde	62.73806999999999	7.1588199999999995	62.73807,7.15882
272	1504	Ålesund	62.47124	6.15424	62.47124,6.15424
273	1505	Kristiansund	63.11152	7.73198	63.11152,7.73198
274	1511	Vanylven	62.100030000000004	5.558269999999999	62.10003,5.55827
275	1514	Sande	62.20455	5.5797099999999995	62.20455,5.57971
276	1515	Herøy	62.333330000000004	5.63598	62.33333,5.63598
277	1516	Ulstein	62.34423	5.85241	62.34423,5.85241
278	1517	Hareid	62.367419999999996	6.02114	62.36742,6.02114
279	1519	Volda	62.14678000000001	6.068	62.14678,6.068
280	1520	Ørsta	62.199369999999995	6.13084	62.19937,6.13084
281	1523	Ørskog	62.4845	6.82025	62.4845,6.82025
282	1524	Norddal	62.2991	7.26145	62.2991,7.26145
283	1525	Stranda	62.311319999999995	6.93115	62.31132,6.93115
284	1526	Stordal	62.38214	6.987080000000001	62.38214,6.98708
285	1528	Sykkylven	62.389619999999994	6.57825	62.38962,6.57825
286	1529	Skodje	62.50306	6.698169999999999	62.50306,6.69817
287	1531	Sula	62.444469999999995	6.21229	62.44447,6.21229
288	1532	Giske	62.5007	6.13472	62.5007,6.13472
289	1534	Haram	62.598980000000005	6.4448300000000005	62.59898,6.44483
290	1535	Vestnes	62.6213	7.08966	62.6213,7.08966
291	1539	Rauma	62.5681	7.68612	62.5681,7.68612
292	1543	Nesset	62.77619	8.066230000000001	62.77619,8.06623
293	1545	Midsund	62.676140000000004	6.67776	62.67614,6.67776
294	1546	Sandøy	62.78167	6.46875	62.78167,6.46875
295	1547	Aukra	62.805	6.88722	62.805,6.88722
296	1548	Fræna	62.85375	7.1538	62.85375,7.1538
297	1551	Eide	62.9157	7.444960000000001	62.9157,7.44496
